exp,type,time
4,foreign,751.594
4,pointer,344.197
4,foreign,631.709
4,pointer,254.269
4,foreign,706.267
4,pointer,308.228
4,foreign,693.097
4,pointer,254.024
4,foreign,641.204
4,pointer,301.309
4,foreign,709.903
4,pointer,256.028
4,foreign,624.451
4,pointer,255.975
4,foreign,713.611
4,pointer,302.849
4,foreign,667.147
4,pointer,263.819
4,foreign,662.718
4,pointer,304.021
5,foreign,801.241
5,pointer,378.183
5,foreign,876.177
5,pointer,315.848
5,foreign,862.068
5,pointer,373.326
5,foreign,780.715
5,pointer,311.908
5,foreign,897.833
5,pointer,313.282
5,foreign,780.763
5,pointer,361.57
5,foreign,831.1
5,pointer,310.36
5,foreign,880.13
5,pointer,336.3
5,foreign,770.348
5,pointer,329.226
5,foreign,856.829
5,pointer,304.179
6,foreign,966.552
6,pointer,500.177
6,foreign,1008.54
6,pointer,370.931
6,foreign,981.412
6,pointer,412.756
6,foreign,909.696
6,pointer,434.057
6,foreign,932.422
6,pointer,378.492
6,foreign,1005.79
6,pointer,365.123
6,foreign,1008.13
6,pointer,408.106
6,foreign,1012.14
6,pointer,454.233
6,foreign,898.594
6,pointer,434.596
6,foreign,950.322
6,pointer,367.735
7,foreign,1212.82
7,pointer,716.498
7,foreign,1248.81
7,pointer,468.071
7,foreign,1240.76
7,pointer,488.761
7,foreign,1088.08
7,pointer,482.422
7,foreign,1107.4
7,pointer,499.874
7,foreign,1092.34
7,pointer,523.509
7,foreign,1121.86
7,pointer,526.341
7,foreign,1115.94
7,pointer,474.596
7,foreign,1140.22
7,pointer,449.383
7,foreign,1157.7
7,pointer,428.132
8,foreign,1321.88
8,pointer,766.734
8,foreign,1371.46
8,pointer,667.463
8,foreign,1368.68
8,pointer,635.353
8,foreign,1359.38
8,pointer,588.91
8,foreign,1353.95
8,pointer,530.628
8,foreign,1316.78
8,pointer,649.169
8,foreign,1375.87
8,pointer,498.39
8,foreign,1354.3
8,pointer,578.04
8,foreign,1296.73
8,pointer,582.524
8,foreign,1412.4
8,pointer,507.469
9,foreign,2358.37
9,pointer,1955.16
9,foreign,1494.14
9,pointer,544.15
9,foreign,1373.52
9,pointer,635.929
9,foreign,1434.17
9,pointer,572.319
9,foreign,1467.88
9,pointer,597.935
9,foreign,1396.25
9,pointer,558.737
9,foreign,1359.91
9,pointer,609.35
9,foreign,1457.15
9,pointer,551.599
9,foreign,1342.9
9,pointer,599.177
9,foreign,1481.27
9,pointer,573.661
10,foreign,1822.77
10,pointer,2109.67
10,foreign,1645.43
10,pointer,610.207
10,foreign,1595.4
10,pointer,651.7
10,foreign,1560.71
10,pointer,657.734
10,foreign,1592.75
10,pointer,609.043
10,foreign,1528.22
10,pointer,713.779
10,foreign,1710.36
10,pointer,642.832
10,foreign,1648.39
10,pointer,604.643
10,foreign,1544.69
10,pointer,710.665
10,foreign,1668.1
10,pointer,645.345
